utc,elapsed_s,volts,speed_kph,odometer_km,soc_pct,energy_kwh,range_mi,dist_since_chg_mi,temp_f,charger_5401_raw,power_kw,cell_avg_v,cell_min_v,cell_max_v,cell_spread_mv,cell_extra_raw,array_2af1,pack_v,pack_a,hv_power_kw,dmc2_v,wheel_fl_kph,wheel_fr_kph,wheel_rl_kph,wheel_rr_kph,brake_kpa,steering_deg,lateral_g,longitudinal_g,array_2b43
2026-09-03T21:46:08.922796Z,63.421,13.8V,0,2247.5,79.449,150.84,263.45,31.01,100.4,00,-4.88,3.9985,3.997,4.002,5.0,710FB317,747574747474747474747575757574747474747474747474,383.93,8.1,3.11,12.9,1,1,1,1,800,-81.55,0.05097,-0.07008,C3C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T21:46:11.570310Z,66.069,13.7V,3,2247.5,79.449,150.84,263.45,31.01,100.4,00,-4.87,3.9976,3.9961,4.0011,5.0,740FB717,747574747474747474747575757574747474747474747474,383.75,18.6,7.14,13.1,2,2,2,1,0,-637.14,0.0446,-0.03186,C3C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T21:46:14.567566Z,69.066,13.8V,4,2247.5,79.449,150.84,263.45,31.01,102.2,00,-4.23,3.9982,3.9966,4.0016,5.0,710FB317,747574747474747474747575757574747474747474747474,383.93,8.7,3.34,13.0,6,4,5,3,0,-635.89,-0.00637,0.01274,C3C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T21:46:17.189431Z,71.688,13.8V,2,2247.5,79.449,150.83,263.45,31.01,102.2,00,-4.85,3.9982,3.9966,4.0018,5.2,710FB317,747574747474747474747575757574747474747474747474,383.93,7.8,2.99,13.0,4,3,3,2,500,-587.51,-0.0446,0.06371,C3C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T21:46:19.845621Z,74.344,13.7V,1,2247.5,79.449,150.83,263.45,31.01,102.2,00,-4.24,3.9984,3.9968,4.0018,5.0,760FB417,747574747474747474747575757574747474747474747474,383.93,7.8,2.99,12.9,2,1,1,2,900,128.17,-0.01274,0.05734,C3C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T21:46:22.519367Z,77.018,13.8V,1,2247.5,79.449,150.83,263.45,31.01,102.2,00,-4.23,3.9982,3.9967,4.0017,5.0,740FB317,747574747474747474747575757574747474747474747474,383.9,9.3,3.57,13.1,0,1,0,1,200,631.38,0.0,0.00637,C3C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T21:46:25.153076Z,79.651,13.8V,0,2247.5,79.449,150.83,263.45,31.01,102.2,00,-4.25,3.9983,3.9965,4.0018,5.3,780FB717,747574747474747474747575757574747474747474747474,384.12,6.9,2.65,13.1,0,0,0,0,400,624.51,0.0,0.02548,C3C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T21:46:27.865051Z,82.364,13.7V,0,2247.5,79.449,150.82,263.45,31.01,102.2,00,-4.26,3.9986,3.997,4.002,5.0,760FB317,747574747474747474747575757574747474747474747474,384.09,7.8,3.0,13.0,0,0,0,0,1700,196.68,0.0,0.01911,C3C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T21:46:30.488604Z,84.987,13.9V,4,2247.5,79.449,150.82,263.45,31.01,102.2,00,-4.26,3.9964,3.9943,4.0,5.7,760FB317,747574747474747474747575757574747474747474747474,383.78,23.1,8.87,13.0,3,3,3,3,0,-54.19,0.0,0.0446,C3C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T21:46:33.120536Z,87.619,13.8V,0,2247.5,79.449,150.82,263.45,31.01,102.2,00,-3.65,3.9985,3.9969,4.002,5.1,760FB317,747574747474747474747575757574747474747474747474,384.24,7.8,3.0,13.0,3,3,3,3,1200,97.17,-0.01911,-0.10194,C3C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T21:46:35.643168Z,90.142,13.8V,3,2247.5,79.449,150.81,263.45,31.01,102.2,00,-4.27,3.9979,3.9964,4.0014,5.0,710FB317,747574747474747474747575757574747474747474747474,383.93,7.8,2.99,13.1,3,3,3,3,400,240.88,0.01911,0.05097,C3C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T21:46:38.428212Z,92.927,13.8V,1,2247.5,79.449,150.81,263.45,31.01,102.2,00,-4.25,3.9985,3.9969,4.0019,5.0,760FB417,747574747474747474747575757574747474747474747474,384.09,6.9,2.65,13.1,1,1,1,1,700,-54.56,0.0,0.03186,C3C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T21:46:41.077070Z,95.575,13.8V,0,2247.5,79.449,150.81,263.45,31.01,102.2,00,-4.26,3.9987,3.9971,4.0022,5.1,760FB317,747574747474747474747575757574747474747474747474,383.93,6.3,2.42,13.1,0,0,0,0,1600,-38.3,0.0,0.01911,C3C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T21:46:43.745628Z,98.244,13.8V,0,2247.5,79.449,150.81,263.45,31.01,102.2,00,-4.26,3.9987,3.9972,4.0021,4.9,760FB317,747574747474747474747575757574747474747474747474,384.09,6.6,2.53,13.1,0,0,0,0,0,-38.3,0.0,0.03186,C3C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T21:46:46.340731Z,100.839,13.8V,0,2247.5,79.449,150.8,263.45,31.01,102.2,00,-4.89,3.9987,3.9972,4.0022,5.0,710FB317,747574747474747474747575757574747474747474747474,383.9,5.7,2.19,13.1,0,0,0,0,0,-38.17,0.0,0.02548,C3C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T21:46:48.965183Z,103.464,13.8V,0,2247.5,79.449,150.8,263.45,31.01,102.2,00,-4.28,3.9988,3.9974,4.0023,4.9,710FB317,747574747474747474747575757574747474747474747474,383.9,6.0,2.3,13.1,0,0,0,0,0,-38.17,0.0,0.02548,C3C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T21:46:51.593357Z,106.092,13.8V,0,2247.5,79.449,150.8,263.45,31.01,102.2,00,-4.28,3.9988,3.9973,4.0023,5.0,710FB317,747574747474747474747575757574747474747474747474,383.9,6.3,2.42,13.1,0,0,0,0,0,-38.17,0.0,0.03186,C3C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T21:46:54.526350Z,109.025,13.8V,0,2247.5,79.449,150.8,263.45,31.01,102.2,00,-4.26,3.9989,3.9973,4.0024,5.1,760FB317,747574747474747474747575757574747474747474747474,383.9,6.0,2.3,13.1,0,0,0,0,0,-38.17,0.0,0.02548,C3C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T21:46:57.193126Z,111.692,13.8V,0,2247.5,79.449,150.8,263.45,31.01,102.2,00,-3.64,3.9989,3.9974,4.0022,4.8,710FB317,747574747474747474747575757574747474747474747474,384.09,5.7,2.19,13.1,0,0,0,0,0,-38.17,0.0,0.02548,C3C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T21:46:59.829365Z,114.328,13.8V,0,2247.5,79.449,150.79,263.45,31.01,102.2,00,-3.64,3.9989,3.9974,4.0023,4.9,710FB317,747574747474747474747575757574747474747474747474,384.09,6.6,2.53,13.1,0,0,0,0,0,-38.17,0.0,0.02548,C3C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T21:47:02.493855Z,116.992,13.8V,0,2247.5,79.449,150.79,263.45,31.01,102.2,00,-3.66,3.9989,3.9974,4.0024,5.0,740FB317,747574747474747474747575757574747474747474747474,384.09,6.3,2.42,13.1,0,0,0,0,0,-38.17,0.0,0.02548,C3C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T21:47:05.145613Z,119.644,13.8V,0,2247.5,79.449,150.79,263.45,31.01,102.2,00,-3.67,3.9989,3.9974,4.0024,5.0,760FB317,747574747474747474747575757574747474747474747474,383.9,6.3,2.42,13.1,0,0,0,0,0,-38.17,0.0,0.02548,C3C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T21:47:07.798126Z,122.297,13.8V,0,2247.5,79.449,150.79,263.45,31.01,102.2,00,-3.06,3.999,3.9974,4.0024,5.0,760FB317,747574747474747474747575757574747474747474747474,383.9,6.0,2.3,13.1,0,0,0,0,0,-38.17,0.0,0.01911,C3C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T21:47:10.376580Z,124.875,13.8V,0,2247.5,79.449,150.79,263.45,31.01,102.2,00,-3.06,3.999,3.9975,4.0024,4.9,710FB317,747574747474747474747575757574747474747474747474,383.93,6.0,2.3,13.1,0,0,0,0,0,-38.17,0.0,0.02548,C3C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T21:47:13.064450Z,127.563,13.8V,0,2247.5,79.449,150.78,263.45,31.01,102.2,00,-3.69,3.999,3.9974,4.0025,5.1,760FB317,747574747474747474747575757574747474747474747474,384.09,6.6,2.53,13.1,0,0,0,0,0,-38.17,0.0,0.02548,C3C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T21:47:15.853571Z,130.352,13.8V,0,2247.5,79.449,150.78,263.45,31.01,102.2,00,-3.07,3.999,3.9975,4.0024,4.9,760FB317,747574747474747474747575757574747474747474747474,383.9,5.7,2.19,13.1,0,0,0,0,0,-38.17,0.0,0.02548,C3C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T21:47:18.546050Z,133.045,13.8V,0,2247.5,79.449,150.78,263.45,31.01,102.2,00,-3.07,3.9991,3.9976,4.0025,4.9,760FB317,747574747474747474747575757574747474747474747474,383.93,5.7,2.19,13.1,0,0,0,0,0,-38.17,0.0,0.02548,C3C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T21:47:21.190716Z,135.689,13.8V,0,2247.5,79.449,150.78,263.45,31.01,102.2,00,-3.07,3.9991,3.9975,4.0025,5.0,760FB317,747574747474747474747575757574747474747474747474,384.09,6.0,2.3,13.1,0,0,0,0,0,-38.17,0.0,0.02548,C3C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T21:47:24.076684Z,138.575,13.8V,0,2247.5,79.449,150.78,263.45,31.01,102.2,00,-3.05,3.9991,3.9976,4.0025,4.9,710FB317,747574747474747474747575757574747474747474747474,384.09,6.3,2.42,13.1,0,0,0,0,0,-38.17,0.0,0.02548,C3C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
